%time,field.poisonStamp.originator,field.poisonStamp.description,field.poisonStamp.qos,field.torques0.timeStamp,field.torques0.joint_uri,field.torques0.unit,field.torques0.value,field.torques1.timeStamp,field.torques1.joint_uri,field.torques1.unit,field.torques1.value,field.torques2.timeStamp,field.torques2.joint_uri,field.torques2.unit,field.torques2.value
1578500811099234838,,,0.0,0,arm_joint_2,N m,0.649011954973,0,arm_joint_3,N m,0.503374658899,0,arm_joint_4,N m,-0.292949726117
1578500811100232234,,,0.0,0,arm_joint_2,N m,0.649011954973,0,arm_joint_3,N m,0.503374658899,0,arm_joint_4,N m,-0.292949726117
1578500811101226389,,,0.0,0,arm_joint_2,N m,0.645346561589,0,arm_joint_3,N m,0.510952945046,0,arm_joint_4,N m,-0.293001028649
1578500811102239460,,,0.0,0,arm_joint_2,N m,0.645346561589,0,arm_joint_3,N m,0.510952945046,0,arm_joint_4,N m,-0.293001028649
1578500811103226079,,,0.0,0,arm_joint_2,N m,0.640810652796,0,arm_joint_3,N m,0.517505833353,0,arm_joint_4,N m,-0.293333711281
1578500811104219420,,,0.0,0,arm_joint_2,N m,0.640810652796,0,arm_joint_3,N m,0.517505833353,0,arm_joint_4,N m,-0.293333711281
1578500811105222220,,,0.0,0,arm_joint_2,N m,0.638991907232,0,arm_joint_3,N m,0.516060448921,0,arm_joint_4,N m,-0.295764003742
1578500811106201376,,,0.0,0,arm_joint_2,N m,0.624182111007,0,arm_joint_3,N m,0.524959782624,0,arm_joint_4,N m,-0.29337738802
1578500811107261348,,,0.0,0,arm_joint_2,N m,0.635581424675,0,arm_joint_3,N m,0.503054341139,0,arm_joint_4,N m,-0.293393633384
1578500811108240383,,,0.0,0,arm_joint_2,N m,0.62082791328,0,arm_joint_3,N m,0.511968305753,0,arm_joint_4,N m,-0.29101648077
1578500811109234149,,,0.0,0,arm_joint_2,N m,0.61894636533,0,arm_joint_3,N m,0.50024107703,0,arm_joint_4,N m,-0.291072386164
1578500811110254869,,,0.0,0,arm_joint_2,N m,0.617570701167,0,arm_joint_3,N m,0.499156367862,0,arm_joint_4,N m,-0.29326242559
1578500811111244562,,,0.0,0,arm_joint_2,N m,0.602892295816,0,arm_joint_3,N m,0.497805658624,0,arm_joint_4,N m,-0.290853366326
1578500811112239991,,,0.0,0,arm_joint_2,N m,0.613232786501,0,arm_joint_3,N m,0.505826820357,0,arm_joint_4,N m,-0.295925463185
1578500811113262499,,,0.0,0,arm_joint_2,N m,0.598628167138,0,arm_joint_3,N m,0.50450759969,0,arm_joint_4,N m,-0.295908113161
1578500811114258513,,,0.0,0,arm_joint_2,N m,0.610002466444,0,arm_joint_3,N m,0.492837087696,0,arm_joint_4,N m,-0.295924617823
1578500811115264917,,,0.0,0,arm_joint_2,N m,0.595197281972,0,arm_joint_3,N m,0.501700025957,0,arm_joint_4,N m,-0.295960817048
1578500811116218050,,,0.0,0,arm_joint_2,N m,0.595197281972,0,arm_joint_3,N m,0.501700025957,0,arm_joint_4,N m,-0.295960817048
1578500811117264603,,,0.0,0,arm_joint_2,N m,0.605185707269,0,arm_joint_3,N m,0.499277263007,0,arm_joint_4,N m,-0.295769046046
1578500811118247224,,,0.0,0,arm_joint_2,N m,0.605185707269,0,arm_joint_3,N m,0.499277263007,0,arm_joint_4,N m,-0.295769046046
