%time,field.poisonStamp.originator,field.poisonStamp.description,field.poisonStamp.qos,field.velocities0.timeStamp,field.velocities0.joint_uri,field.velocities0.unit,field.velocities0.value
1576487412441104807,,,0.0,1576487412000000000,arm_joint_5,s^-1 rad,-0.5
1576487412502502592,,,0.0,1576487412000000000,arm_joint_5,s^-1 rad,-0.5
1576487412562261116,,,0.0,1576487412000000000,arm_joint_5,s^-1 rad,-0.5
1576487412624827157,,,0.0,1576487412000000000,arm_joint_5,s^-1 rad,-0.5
1576487412686131334,,,0.0,1576487412000000000,arm_joint_5,s^-1 rad,-0.5
1576487412747115727,,,0.0,1576487412000000000,arm_joint_5,s^-1 rad,-0.5
1576487412808084715,,,0.0,1576487412000000000,arm_joint_5,s^-1 rad,-0.5
1576487412868333950,,,0.0,1576487412000000000,arm_joint_5,s^-1 rad,-0.5
1576487412930412936,,,0.0,1576487412000000000,arm_joint_5,s^-1 rad,-0.5
1576487412990943421,,,0.0,1576487412000000000,arm_joint_5,s^-1 rad,-0.5
1576487413052797535,,,0.0,1576487413000000000,arm_joint_5,s^-1 rad,-0.5
1576487413136123720,,,0.0,1576487413000000000,arm_joint_5,s^-1 rad,-0.5
1576487413196013473,,,0.0,1576487413000000000,arm_joint_5,s^-1 rad,-0.5
1576487413258126321,,,0.0,1576487413000000000,arm_joint_5,s^-1 rad,-0.5
1576487413318211252,,,0.0,1576487413000000000,arm_joint_5,s^-1 rad,-0.5
1576487413378611769,,,0.0,1576487413000000000,arm_joint_5,s^-1 rad,-0.5
1576487413439348996,,,0.0,1576487413000000000,arm_joint_5,s^-1 rad,-0.5
1576487413502353895,,,0.0,1576487413000000000,arm_joint_5,s^-1 rad,-0.5
1576487413564108687,,,0.0,1576487413000000000,arm_joint_5,s^-1 rad,-0.5
1576487413623978728,,,0.0,1576487413000000000,arm_joint_5,s^-1 rad,-0.5
1576487413685057047,,,0.0,1576487413000000000,arm_joint_5,s^-1 rad,-0.5
1576487413747125499,,,0.0,1576487413000000000,arm_joint_5,s^-1 rad,-0.5
1576487413809397748,,,0.0,1576487413000000000,arm_joint_5,s^-1 rad,-0.5
1576487413872039565,,,0.0,1576487413000000000,arm_joint_5,s^-1 rad,-0.5
