K,delta_M
0.861,0.760164954040951
0.862,0.759752633605096
0.863,0.759340603901894
0.864,0.758928865240603
0.865,0.758517417929064
0.866,0.758106262273724
0.867,0.757695398579645
0.868,0.757284827150486
0.869,0.756874548288547
0.87,0.756464562294748
0.871,0.756054869468653
0.872,0.755645470108483
0.873,0.755236364511093
0.874,0.75482755297202
0.875,0.754419035785461
0.876,0.754010813244296
0.877,0.753602885640088
0.878,0.753195253263097
0.879,0.752787916402271
0.88,0.752380875345282
0.881,0.751974130378512
0.882,0.751567681787055
0.883,0.751161529854749
0.884,0.750755674864157
0.885,0.750350117096591
0.886,0.749944856832112
0.887,0.749539894349544
0.888,0.74913522992646
0.889,0.748730863839221
0.89,0.74832679636296
0.891,0.747923027771588
0.892,0.747519558337814
0.893,0.747116388333144
0.894,0.746713518027888
0.895,0.746310947691166
0.896,0.745908677590914
0.897,0.745506707993892
0.898,0.74510503916569
0.899,0.744703671370741
0.9,0.744302604872309
0.901,0.743901839932514
0.902,0.743501376812328
0.903,0.743101215771586
0.904,0.742701357068992
0.905,0.742301800962113
0.906,0.741902547707404
0.907,0.741503597560207
0.908,0.741104950774745
0.909,0.740706607604145
0.91,0.740308568300433
0.911,0.739910833114545
0.912,0.739513402296324
0.913,0.739116276094547
0.914,0.7387194547569
0.915,0.738322938530003
0.916,0.73792672765942
0.917,0.737530822389657
0.918,0.737135222964148
0.919,0.736739929625295
0.92,0.73634494261446
0.921,0.735950262171961
0.922,0.735555888537079
0.923,0.735161821948081
0.924,0.734768062642203
0.925,0.734374610855659
0.926,0.733981466823675
0.927,0.733588630780443
0.928,0.733196102959174
0.929,0.732803883592068
0.93,0.732411972910341
0.931,0.732020371144218
0.932,0.731629078522958
0.933,0.731238095274817
0.934,0.730847421627098
0.935,0.730457057806132
0.936,0.730067004037281
0.937,0.729677260544957
0.938,0.729287827552616
0.939,0.728898705282764
0.94,0.728509893956963
0.941,0.728121393795835
0.942,0.72773320501907
0.943,0.727345327845422
0.944,0.726957762492722
0.945,0.726570509177873
0.946,0.726183568116873
0.947,0.7257969395248
0.948,0.725410623615809
