i;ii;iii;iv
-0.00064109;0.002373;0.0023104;-0.0052302
-0.00072827;0.0027818;0.0028202;-0.0059674
-0.00081313;0.0032155;0.0033794;-0.0066861
-0.00089387;0.0036721;0.0039844;-0.0073693
-0.00096874;0.0041494;0.0046314;-0.0080006
-0.0010361;0.0046452;0.0053167;-0.0085646
-0.0010942;0.0051573;0.0060365;-0.0090474
-0.0011418;0.005684;0.0067878;-0.0094373
-0.0011776;0.0062234;0.0075679;-0.0097252
-0.0012008;0.0067741;0.0083748;-0.0099044
-0.0012106;0.0073346;0.0092067;-0.0099711
-0.0012071;0.0079039;0.010062;-0.0099236
-0.0011905;0.0084812;0.01094;-0.0097627
-0.0011614;0.0090657;0.011839;-0.0094916
-0.0011208;0.0096569;0.012759;-0.0091163
-0.00107;0.010255;0.013697;-0.008646
-0.0010106;0.010859;0.014652;-0.0080927
-0.00094456;0.011469;0.015624;-0.0074712
-0.00087423;0.012085;0.016611;-0.0067981
-0.00080229;0.012707;0.017611;-0.0060909
-0.00073164;0.013336;0.018622;-0.0053669
-0.00066532;0.013969;0.019643;-0.0046423
-0.00060638;0.014608;0.020674;-0.0039315
-0.00055768;0.015253;0.021712;-0.0032457
-0.00052183;0.015902;0.022758;-0.0025932
-0.00050103;0.016557;0.02381;-0.0019785
-0.00049695;0.017218;0.02487;-0.0014031
-0.00051064;0.017884;0.025936;-0.00086583
-0.00054252;0.018557;0.027008;-0.00036358
-0.0005924;0.019237;0.028085;0.00010805
-0.00065958;0.019925;0.029165;0.00055409
-0.00074288;0.020621;0.030248;0.00097954
-0.00084076;0.021327;0.031329;0.0013888
-0.00095135;0.022042;0.032407;0.0017851
-0.0010725;0.022767;0.033478;0.002171
-0.0012019;0.023502;0.034537;0.002548
-0.0013371;0.024247;0.03558;0.0029174
-0.0014755;0.025;0.036605;0.00328
-0.0016145;0.025762;0.037607;0.003637
-0.0017516;0.02653;0.038583;0.0039893
-0.0018843;0.027302;0.03953;0.0043385
-0.0020103;0.028077;0.040449;0.0046866
-0.0021276;0.028852;0.041339;0.0050357
-0.0022345;0.029624;0.0422;0.0053887
-0.0023297;0.030391;0.043034;0.0057487
-0.0024123;0.031148;0.043843;0.0061192
-0.0024821;0.031892;0.044629;0.0065035
-0.0025389;0.03262;0.045394;0.006905
-0.0025832;0.033328;0.046142;0.0073268
-0.0026155;0.034013;0.046875;0.0077715
-0.0026369;0.034672;0.047596;0.0082408
-0.0026484;0.035303;0.048311;0.008736
-0.0026516;0.035904;0.049021;0.0092575
-0.0026479;0.036475;0.049732;0.0098051
-0.0026393;0.037016;0.050447;0.010377
-0.0026274;0.037526;0.05117;0.010972
-0.0026142;0.038007;0.051904;0.011585
-0.002601;0.038459;0.052654;0.012213
-0.0025893;0.038884;0.053424;0.012847
-0.00258;0.039283;0.054217;0.013482
-0.0025737;0.039656;0.055036;0.014108
-0.0025704;0.040006;0.055883;0.014716
-0.0025699;0.040332;0.056759;0.0153
-0.0025713;0.040636;0.057661;0.015849
-0.002574;0.040918;0.058586;0.016358
-0.0025772;0.041179;0.059529;0.01682
-0.00258;0.041419;0.060479;0.017229
-0.002582;0.041639;0.061428;0.017583
-0.0025832;0.041841;0.062361;0.017878
-0.0025841;0.042024;0.063265;0.018114
-0.0025858;0.042189;0.064126;0.018289
-0.0025896;0.042339;0.06493;0.018405
-0.0025976;0.042472;0.065663;0.018461
-0.0026118;0.042592;0.066315;0.018459
-0.0026345;0.042698;0.066875;0.018401
-0.0026682;0.042792;0.067337;0.018287
-0.002715;0.042873;0.067696;0.018121
-0.002777;0.042943;0.06795;0.017903
-0.002856;0.043002;0.068096;0.017636
-0.0029535;0.04305;0.068137;0.017323
-0.0030706;0.043087;0.068075;0.016967
-0.0032077;0.043112;0.067916;0.016571
-0.0033648;0.043126;0.067665;0.016138
-0.0035412;0.043128;0.067333;0.015673
-0.0037355;0.043119;0.06693;0.015179
-0.0039453;0.043098;0.066467;0.014662
-0.0041675;0.043065;0.065956;0.014125
-0.0043981;0.043021;0.065408;0.013573
-0.0046322;0.042966;0.064835;0.013011
-0.0048646;0.0429;0.064247;0.012444
-0.0050894;0.042823;0.063653;0.011876
-0.0053005;0.042734;0.063064;0.01131
-0.0054919;0.042635;0.062486;0.010751
-0.0056571;0.042523;0.061926;0.010202
-0.0057904;0.0424;0.061389;0.0096654
-0.005886;0.042263;0.060881;0.0091442
-0.005939;0.042113;0.060405;0.0086409
-0.0059453;0.041947;0.059964;0.0081577
-0.005902;0.041767;0.059561;0.0076962
-0.0058074;0.041572;0.059197;0.0072578
-0.0056618;0.041362;0.058875;0.0068432
-0.0054676;0.041138;0.058594;0.0064529
-0.0052294;0.040903;0.058356;0.0060869
-0.0049542;0.040659;0.058162;0.0057452
-0.0046511;0.040409;0.058009;0.0054273
-0.0043305;0.040156;0.057898;0.0051326
-0.0040037;0.039903;0.057827;0.00486
-0.0036826;0.039652;0.057794;0.004608
-0.003379;0.039404;0.057796;0.0043747
-0.0031043;0.039157;0.05783;0.0041579
-0.0028685;0.038908;0.057893;0.0039551
-0.0026805;0.038653;0.057978;0.0037636
-0.0025476;0.038385;0.058081;0.0035807
-0.0024753;0.038095;0.058195;0.0034035
-0.0024673;0.037776;0.058313;0.003229
-0.0025253;0.037419;0.058427;0.0030539
-0.002649;0.037016;0.058527;0.0028748
-0.0028357;0.036562;0.058604;0.0026884
-0.0030802;0.036052;0.058648;0.0024913
-0.0033747;0.035486;0.058649;0.0022803
-0.0037093;0.034864;0.058597;0.0020527
-0.0040724;0.034191;0.058484;0.0018059
-0.0044517;0.03347;0.058302;0.001538
-0.0048346;0.032708;0.058046;0.0012475
-0.0052091;0.031911;0.057712;0.00093349
