interp_window,qrtl_R2_1_1,qrtl_R2_1_2,qrtl_R2_1_3,qrtl_R2_2_1,qrtl_R2_2_2,qrtl_R2_2_3
473,-2.32122212827416,0.827868159691772,0.98711483725547,-2.73612649181921,0.893505006222788,0.980200735860753
476,-2.22849318750301,0.857985605540235,0.987866565386288,-2.68382886367446,0.891212189944937,0.980869905062736
479,-2.1437181579043,0.822419718493986,0.987489232273286,-2.71367046010141,0.882889996067187,0.980439110940639
482,-1.77354223628904,0.863972522705736,0.987449652463723,-2.67420964635372,0.88286382548067,0.980682226019906
485,-1.7172441712577,0.866084369946613,0.987757165388118,-2.67790246462944,0.874851297839219,0.980368572225414
488,-1.66744329617233,0.856002977550617,0.987920049829782,-2.70544812156422,0.87476509741635,0.980027481114669
491,-1.81083139172327,0.836380542086356,0.988025490515729,-2.65656836862772,0.87468813692783,0.979689044545218
494,-1.95267710152325,0.834645675694205,0.987976012166723,-2.61930124094412,0.882378023250071,0.9791156366858
497,-2.01044837159378,0.8346164730809,0.988147012749789,-2.56912824476523,0.881574956325262,0.978807578299985
500,-2.05271454023244,0.819488943248968,0.988055376268806,-2.6139615265421,0.874521092193475,0.978622912836274
