time,j4_velocity,j4_velocity_cmd
72.945000512,0.272217778728597,0.280235964405
72.946000512,0.281114297506164,0.280235964405
72.947000512,0.271649165142924,0.280235964405
72.948000512,0.280797448080476,0.280235964405
72.949000512,0.287610595047,0.280235964405
72.950000512,0.259129335839188,0.280235964405
72.951000512,0.259069772046336,0.280235964405
72.952000512,0.280752405238025,0.315669100980906
72.953000512,0.27257904443955,0.3318583789
72.954000512,0.250509447529885,0.3318583789
72.955000512,0.258428713062647,0.3318583789
72.956000512,0.252219322039175,0.3318583789
72.957000512,0.270213084719653,0.3318583789
72.958000512,0.316678356479671,0.3318583789
72.959000512,0.316962643121106,0.3318583789
72.960000512,0.309734486974,0.3318583789
72.961000512,0.324894239062133,0.3318583789
72.962000512,0.3318583789,0.3318583789
72.963000512,0.3318583789,0.3318583789
72.964000512,0.3318583789,0.3318583789
72.965000512,0.3318583789,0.3318583789
72.966000512,0.3318583789,0.3318583789
72.967000512,0.3318583789,0.3318583789
72.968000512,0.3318583789,0.3318583789
72.969000512,0.3318583789,0.3318583789
72.970000512,0.3318583789,0.3318583789
72.971000512,0.3318583789,0.3318583789
72.972000512,0.345051915604227,0.3318583789
72.973000512,0.340127611360968,0.3318583789
72.974000512,0.3318583789,0.3318583789
72.975000512,0.3318583789,0.3318583789
72.976000512,0.316463305703476,0.3318583789
72.977000512,0.309734486974,0.3318583789
72.978000512,0.294527133199392,0.3318583789
72.979000512,0.287610595047,0.3318583789
72.980000512,0.301194653468348,0.3318583789
72.981000512,0.323979393623736,0.3318583789
72.982000512,0.3318583789,0.3318583789
72.983000512,0.316692380301323,0.3318583789
72.984000512,0.309734486974,0.3318583789
72.985000512,0.309734486974,0.3318583789
72.986000512,0.309734486974,0.3318583789
72.987000512,0.309734486974,0.3318583789
72.988000512,0.323376412077946,0.3318583789
72.989000512,0.301869384537019,0.3318583789
72.990000512,0.318030946445401,0.3318583789
72.991000512,0.316679661682397,0.3318583789
72.992000512,0.309734486974,0.3318583789
72.993000512,0.325069074018928,0.3318583789
72.994000512,0.3318583789,0.3318583789
72.995000512,0.3318583789,0.3318583789
72.996000512,0.3318583789,0.3318583789
72.997000512,0.3318583789,0.3318583789
72.998000512,0.3318583789,0.3318583789
72.999000512,0.3318583789,0.3318583789
73.000000512,0.316675099453552,0.3318583789
73.001000512,0.32479220910015,0.3318583789
73.002000512,0.3318583789,0.3318583789
73.003000512,0.3318583789,0.3318583789
73.004000512,0.345461316019272,0.3318583789
73.005000512,0.340511052195742,0.3318583789
73.006000512,0.3318583789,0.3318583789
73.007000512,0.3318583789,0.3318583789
73.008000512,0.3318583789,0.3318583789
73.009000512,0.317343860184937,0.3318583789
73.010000512,0.309734486974,0.3318583789
73.011000512,0.323195026955509,0.3318583789
73.012000512,0.3318583789,0.3318583789
73.013000512,0.3318583789,0.3318583789
73.014000512,0.3318583789,0.3318583789
73.015000512,0.3318583789,0.3318583789
73.016000512,0.3318583789,0.3318583789
73.017000512,0.3318583789,0.3318583789
73.018000512,0.317111996082318,0.3318583789
73.019000512,0.309734486974,0.3318583789
73.020000512,0.323699414142808,0.3318583789
73.021000512,0.318269837114033,0.3318583789
73.022000512,0.295868808429796,0.3318583789
73.023000512,0.317492176546417,0.3318583789
73.024000512,0.318818501037932,0.3318583789
73.025000512,0.309734486974,0.3318583789
73.026000512,0.322915340895924,0.3318583789
73.027000512,0.318245138236379,0.3318583789
73.028000512,0.324323042021279,0.3318583789
73.029000512,0.317604448773915,0.3318583789
73.030000512,0.309734486974,0.3318583789
73.031000512,0.309734486974,0.3318583789
73.032000512,0.309734486974,0.3318583789
73.033000512,0.309734486974,0.3318583789
73.034000512,0.340398726041993,0.3318583789
73.035000512,0.338844210988283,0.3318583789
73.036000512,0.3318583789,0.3318583789
73.037000512,0.346764639157308,0.3318583789
73.038000512,0.338921791805157,0.3318583789
73.039000512,0.3318583789,0.3318583789
73.040000512,0.3318583789,0.3318583789
73.041000512,0.3318583789,0.3318583789
73.042000512,0.3318583789,0.3318583789
73.043000512,0.3318583789,0.3318583789
73.044000512,0.3318583789,0.3318583789
73.045000512,0.3318583789,0.3318583789
73.046000512,0.3318583789,0.3318583789
73.047000512,0.3318583789,0.3318583789
73.048000512,0.315921089651096,0.3318583789
73.049000512,0.309734486974,0.3318583789
73.050000512,0.325501351511917,0.3318583789
73.051000512,0.316169260224158,0.3318583789
73.052000512,0.293978734283153,0.3318583789
73.053000512,0.318791787705027,0.3318583789
73.054000512,0.29992560654332,0.3318583789
73.055000512,0.303204847092404,0.3318583789
73.056000512,0.309734486974,0.3318583789
73.057000512,0.325515234393343,0.3318583789
73.058000512,0.315995804650329,0.3318583789
73.059000512,0.325243036839802,0.3318583789
73.060000512,0.31713990561243,0.3318583789
73.061000512,0.323586428909229,0.3318583789
73.062000512,0.3318583789,0.3318583789
73.063000512,0.3318583789,0.3318583789
73.064000512,0.316694598658191,0.3318583789
73.065000512,0.309734486974,0.3318583789
73.066000512,0.339744238917974,0.365033439251208
73.067000512,0.353982270827,0.380530941139
73.068000512,0.338887837380155,0.380530941139
73.069000512,0.3318583789,0.380530941139
73.070000512,0.346699962950755,0.380530941139
73.071000512,0.36627476389365,0.380530941139
73.072000512,0.376106162754,0.380530941139
73.073000512,0.404388043840202,0.380530941139
73.074000512,0.405694903771531,0.380530941139
73.075000512,0.39823005468,0.380530941139
73.076000512,0.383212143434219,0.380530941139
73.077000512,0.376106162754,0.380530941139
73.078000512,0.376106162754,0.380530941139
73.079000512,0.376106162754,0.380530941139
73.080000512,0.363425316930486,0.380530941139
73.081000512,0.353982270827,0.380530941139
73.082000512,0.368791721096197,0.380530941139
73.083000512,0.376106162754,0.380530941139
73.084000512,0.376106162754,0.380530941139
73.085000512,0.361271999302745,0.380530941139
73.086000512,0.369116788350157,0.380530941139
73.087000512,0.376106162754,0.380530941139
73.088000512,0.376106162754,0.380530941139
73.089000512,0.361840491632659,0.380530941139
73.090000512,0.368927101341156,0.380530941139
73.091000512,0.376106162754,0.380530941139
73.092000512,0.376106162754,0.380530941139
73.093000512,0.360512134039843,0.380530941139
73.094000512,0.369604252861236,0.380530941139
73.095000512,0.376106162754,0.380530941139
73.096000512,0.363028139182897,0.380530941139
73.097000512,0.353982270827,0.380530941139
73.098000512,0.369100363058965,0.380530941139
73.099000512,0.360521598088955,0.380530941139
73.100000512,0.369571227099368,0.380530941139
73.101000512,0.391512472246613,0.380530941139
73.102000512,0.39823005468,0.380530941139
73.103000512,0.384660998622722,0.380530941139
73.104000512,0.376106162754,0.380530941139
73.105000512,0.390996829483045,0.380530941139
73.106000512,0.39823005468,0.380530941139
73.107000512,0.39823005468,0.380530941139
73.108000512,0.382179165411934,0.380530941139
73.109000512,0.376106162754,0.380530941139
73.110000512,0.376106162754,0.380530941139
73.111000512,0.376106162754,0.380530941139
73.112000512,0.376106162754,0.380530941139
73.113000512,0.363681783523142,0.380530941139
73.114000512,0.353982270827,0.380530941139
73.115000512,0.353982270827,0.380530941139
73.116000512,0.353982270827,0.380530941139
73.117000512,0.369083217888512,0.380530941139
73.118000512,0.360732864584154,0.380530941139
73.119000512,0.353982270827,0.380530941139
73.120000512,0.353982270827,0.380530941139
73.121000512,0.367826695517633,0.380530941139
73.122000512,0.376106162754,0.380530941139
73.123000512,0.376106162754,0.380530941139
73.124000512,0.376106162754,0.380530941139
73.125000512,0.376106162754,0.380530941139
73.126000512,0.376106162754,0.380530941139
73.127000512,0.347277596228241,0.380530941139
73.128000512,0.361334655222858,0.380530941139
73.129000512,0.376106162754,0.380530941139
73.130000512,0.390861673724907,0.380530941139
73.131000512,0.412404748222781,0.380530941139
73.132000512,0.43354869941821,0.380530941139
73.133000512,0.414029635684791,0.380530941139
73.134000512,0.427938010087424,0.380530941139
73.135000512,0.413121461640667,0.380530941139
73.136000512,0.370716055494651,0.380530941139
73.137000512,0.353982270827,0.380530941139
73.138000512,0.340476060900264,0.380530941139
73.139000512,0.3318583789,0.380530941139
73.140000512,0.346566535073431,0.380530941139
73.141000512,0.301149782895501,0.380530941139
73.142000512,0.317504008138698,0.380530941139
73.143000512,0.353982270827,0.380530941139
73.144000512,0.353982270827,0.380530941139
73.145000512,0.384288688325174,0.380530941139
73.146000512,0.39823005468,0.380530941139
73.147000512,0.411274221301583,0.380530941139
73.148000512,0.407575904161832,0.380530941139
73.149000512,0.385815828206126,0.380530941139
73.150000512,0.376106162754,0.380530941139
