identif_window;K1;B1;M1;K2;B2;M2
288;0.000556968;3.80E-05;0.000836257;0.000543334;2.65E-05;0.000893527
289;0.000556673;3.72E-05;0.000835997;0.000543266;2.66E-05;0.000893508
290;0.000556391;3.64E-05;0.000835743;0.000543194;2.66E-05;0.000893488
291;0.000556123;3.57E-05;0.000835495;0.000543119;2.67E-05;0.000893466
292;0.000555869;3.49E-05;0.000835252;0.000543042;2.68E-05;0.000893442
293;0.000555627;3.42E-05;0.000835016;0.000542962;2.68E-05;0.000893417
294;0.000555398;3.35E-05;0.000834785;0.00054288;2.69E-05;0.000893391
295;0.000555181;3.28E-05;0.00083456;0.000542796;2.70E-05;0.000893363
296;0.000554976;3.21E-05;0.00083434;0.00054271;2.71E-05;0.000893333
297;0.000554783;3.15E-05;0.000834126;0.000542622;2.72E-05;0.000893303
298;0.0005546;3.08E-05;0.000833918;0.000542532;2.73E-05;0.000893271
299;0.000554429;3.02E-05;0.000833714;0.000542441;2.74E-05;0.000893237
300;0.000554268;2.96E-05;0.000833516;0.000542349;2.75E-05;0.000893203
