time,force,filtered,perturbation
23.792056512,1.46108476244777,1.42657566724939,NaN
23.793056512,1.47623290689333,1.43167749468912,NaN
23.794056512,1.55337546597819,1.43580894212979,NaN
23.795056512,1.51683673567776,1.43816575388099,NaN
23.796056512,1.45420749107921,1.43913065817832,NaN
23.797056512,1.35683891088766,1.43875835934991,NaN
23.798056512,1.37308195414803,1.43766072412648,NaN
23.799056512,1.40278392223519,1.43535515895698,NaN
23.800056512,1.40142459849359,1.43145863154204,NaN
23.801056512,1.40194001618511,1.42644894228812,NaN
23.802056512,1.37631675131744,1.42036340637722,NaN
23.803056512,1.3464039646625,1.41313327185611,NaN
23.804056512,1.18153881561353,1.40449625969326,NaN
23.805056512,1.24939659103416,1.39505915430458,NaN
23.806056512,1.367084417725,1.38475311396483,NaN
23.807056512,1.41153703295605,1.37333010929753,NaN
23.808056512,1.43669031289466,1.36083375072864,NaN
23.809056512,1.4171815299121,1.34734379424827,NaN
23.810056512,1.40185092530978,1.33249521474392,NaN
23.811056512,1.3739737446749,1.31682025531792,NaN
23.812056512,1.37127315582787,1.3005212819028,NaN
23.813056512,1.36568162641391,1.28401183553876,NaN
23.814056512,1.30731639233167,1.26781348391004,NaN
23.815056512,1.32609632313313,1.24961173902859,NaN
23.816056512,1.31969017080907,1.2293117038952,NaN
23.817056512,1.29522252757156,1.2079748426765,NaN
23.818056512,1.13488274540504,1.18614413817915,NaN
23.819056512,1.1288405641004,1.1646074670165,NaN
23.820056512,1.08449079729123,1.14249711346864,NaN
23.821056512,1.05970575478232,1.11907363894111,NaN
23.822056512,1.066455347216,1.09492634059414,NaN
23.823056512,1.07244276554915,1.0696651244524,NaN
23.824056512,1.04605753361918,1.0441102170422,NaN
23.825056512,1.04796419828209,1.0181284868109,NaN
23.826056512,1.09057688789167,0.992198192223664,NaN
23.827056512,1.07565624011219,0.965130926542486,NaN
23.828056512,1.0881131014545,0.93724247753928,NaN
23.829056512,1.02983034920584,0.908633065680058,NaN
23.830056512,1.04104680627438,0.879804768510598,NaN
23.831056512,1.07695344515725,0.851017269244833,NaN
23.832056512,0.994292739370651,0.821915798190343,NaN
23.833056512,0.962440613494368,0.792629127668474,NaN
23.834056512,0.975937129551283,0.763225115015495,NaN
23.835056512,0.949307695036466,0.73307652581303,NaN
23.836056512,0.884143543560546,0.702747708773873,NaN
23.837056512,0.880857195381975,0.672560255311665,NaN
23.838056512,0.7735152866126,0.642110999564132,NaN
23.839056512,0.707961386009269,0.611760718147346,NaN
23.840056512,0.629410077248349,0.581125887867756,NaN
23.841056512,0.60833507070426,0.551051502717927,NaN
23.842056512,0.597758792000025,0.52041021038607,NaN
23.843056512,0.597762783987436,0.489720277548876,NaN
23.844056512,0.486422032855868,0.458922580504342,NaN
23.845056512,0.427272469509325,0.428044320642217,NaN
23.846056512,0.351123267901995,0.397302370162784,NaN
23.847056512,0.370387824181757,0.367227633879036,NaN
23.848056512,0.400536901962233,0.336883923934095,NaN
23.849056512,0.362453251424579,0.306599881581069,NaN
23.850056512,0.354840586369737,0.276321777921623,NaN
23.851056512,0.316996953725254,0.246171501118228,NaN
23.852056512,0.248156832105426,0.216434312323509,NaN
23.853056512,0.25770200024564,0.187099868034665,NaN
23.854056512,0.249625231358156,0.15808383738194,NaN
23.855056512,0.171427479791929,0.12884339832322,NaN
23.856056512,0.172434941226541,0.100536598072296,NaN
23.857056512,0.212023296485757,0.0726909547319698,NaN
23.858056512,0.0752682060751944,0.0447337588797992,NaN
23.859056512,0.0435466661040795,0.0177054646205909,NaN
23.860056512,-0.0214549044943539,-0.00911786991679886,NaN
23.861056512,0.0514794563030465,-0.0349512710881792,NaN
23.862056512,-0.0112078279911432,-0.0610036885055227,NaN
23.863056512,-0.0205203455494471,-0.0863884866316241,NaN
23.864056512,-0.174065002836538,-0.112053244881201,NaN
23.865056512,-0.251849258094518,-0.136810784082701,NaN
23.866056512,-0.302806288147015,-0.161034900626636,NaN
23.867056512,-0.286514358799203,-0.184679162804736,NaN
23.868056512,-0.285172582650581,-0.208008796151843,NaN
23.869056512,-0.322604031195645,-0.231238712508401,NaN
23.870056512,-0.415162340780551,-0.254072422784432,NaN
23.871056512,-0.377842941275686,-0.276269880566722,NaN
23.872056512,-0.354873757381999,-0.297663291943867,NaN
23.873056512,-0.307447356742024,-0.31854306926309,NaN
23.874056512,-0.324129097441226,-0.339131211418754,NaN
23.875056512,-0.315745073746899,-0.359034999099795,NaN
23.876056512,-0.274456786765181,-0.378199261964634,NaN
23.877056512,-0.353417043679229,-0.397221828065907,NaN
23.878056512,-0.456075892215149,-0.415677855932178,NaN
23.879056512,-0.425031580577543,-0.4330501860595,NaN
23.880056512,-0.479304267563924,-0.449904182540278,NaN
23.881056512,-0.495301756804582,-0.466157507152244,NaN
23.882056512,-0.493386127070274,-0.481509980269334,NaN
23.883056512,-0.531774861101681,-0.496772492414098,NaN
23.884056512,-0.512860069974151,-0.510891793871621,NaN
23.885056512,-0.523442830166617,-0.524773331802082,NaN
23.886056512,-0.507820505188244,-0.537802631342711,NaN
23.887056512,-0.545276162391344,-0.550626798744978,NaN
23.888056512,-0.603001839541937,-0.563105269131136,NaN
23.889056512,-0.678526613348434,-0.574963472130276,NaN
23.890056512,-0.652661017064063,-0.585938201552915,NaN
23.891056512,-0.726514791438646,-0.596596227722027,NaN
23.892056512,-0.664095655756579,-0.60567535378822,NaN
23.893056512,-0.715010945646427,-0.614897881042086,NaN
23.894056512,-0.659995923857551,-0.624083346400593,NaN
23.895056512,-0.624585538710611,-0.63395450404417,NaN
23.896056512,-0.698160602324909,-0.643366382152003,NaN
23.897056512,-0.713470665823861,-0.651296650482588,NaN
23.898056512,-0.786077398996418,-0.658113168441387,NaN
23.899056512,-0.698537188571217,-0.664033922499222,NaN
23.900056512,-0.730692285642556,-0.670218693735692,NaN
23.901056512,-0.820259310337497,-0.67652836679332,NaN
23.902056512,-0.766187223258203,-0.681553195913454,NaN
23.903056512,-0.858921582853026,-0.686278603547042,NaN
23.904056512,-0.825281996020917,-0.689915072151506,NaN
23.905056512,-0.836475591241877,-0.69316292010396,NaN
23.906056512,-0.7703362017446,-0.695956103657179,NaN
23.907056512,-0.766794415781323,-0.698653213377537,NaN
23.908056512,-0.722771715940494,-0.701011777197376,NaN
23.909056512,-0.805374737379742,-0.703481478446684,NaN
23.910056512,-0.799304474967159,-0.705177411926992,NaN
23.911056512,-0.734571601589462,-0.706128055059464,NaN
23.912056512,-0.816414321143202,-0.707508902914493,NaN
23.913056512,-0.789793934196178,-0.708340779586618,NaN
23.914056512,-0.746751456744324,-0.70890623020269,NaN
23.915056512,-0.806841410484753,-0.709555788726025,NaN
23.916056512,-0.80433752948663,-0.709754965892491,NaN
23.917056512,-0.835026770634118,-0.709989906412285,NaN
23.918056512,-0.931735356436206,-0.710235059130541,NaN
23.919056512,-0.927744467223884,-0.710382322778956,NaN
23.920056512,-0.878718329421281,-0.70986092905323,NaN
23.921056512,-0.88003466181621,-0.709424878159618,NaN
23.922056512,-0.849769742192041,-0.708661460266594,NaN
23.923056512,-0.845621240704328,-0.707820707801171,NaN
23.924056512,-0.857314753165979,-0.70710478228181,NaN
23.925056512,-0.861409439365177,-0.706248880123819,NaN
23.926056512,-0.774719070783954,-0.704988630011225,NaN
23.927056512,-0.878088631806666,-0.704012990994509,NaN
23.928056512,-0.853459502812815,-0.702536333219516,NaN
23.929056512,-0.782541574757888,-0.700645302501223,NaN
23.930056512,-0.813178750319116,-0.699098184419627,NaN
23.931056512,-0.740096055369963,-0.697712142953407,NaN
23.932056512,-0.731853189805562,-0.695844108296894,NaN
23.933056512,-0.607114913683442,-0.693823781864689,NaN
23.934056512,-0.549875767921397,-0.69183019146684,NaN
23.935056512,-0.576136265622601,-0.690086119710278,NaN
23.936056512,-0.598120001492158,-0.688420679461274,NaN
23.937056512,-0.564843620066317,-0.686774458637647,NaN
23.938056512,-0.617717050552749,-0.685530964652808,NaN
23.939056512,-0.573599257073331,-0.684264541171486,NaN
23.940056512,-0.669227821289342,-0.683707149718304,NaN
23.941056512,-0.664091763500365,-0.68277771781619,NaN
23.942056512,-0.640016858844437,-0.682104138566008,NaN
23.943056512,-0.665227831610594,-0.682132300351399,NaN
23.944056512,-0.697670443778502,-0.68251003619897,NaN
23.945056512,-0.675037530604681,-0.682867127999351,NaN
23.946056512,-0.635639338225456,-0.683500244477052,NaN
23.947056512,-0.648637257277645,-0.684097463448601,NaN
23.948056512,-0.598644151470085,-0.685195782244056,NaN
23.949056512,-0.62783780193171,-0.686684885180547,NaN
23.950056512,-0.683896839249361,-0.688988729030663,NaN
23.951056512,-0.645798973581797,-0.691302505501623,NaN
23.952056512,-0.653880931890263,-0.693737870425868,NaN
23.953056512,-0.547387788714079,-0.696376097278209,NaN
23.954056512,-0.52355222594382,-0.699551706629072,NaN
23.955056512,-0.51021112129435,-0.702949755392291,NaN
23.956056512,-0.519029412608825,-0.707211417231152,NaN
23.957056512,-0.580914482962692,-0.712310232362614,NaN
23.958056512,-0.654709988909756,-0.717729829523171,NaN
23.959056512,-0.597705998892919,-0.723274578179759,NaN
23.960056512,-0.558420624066823,-0.729270064577892,NaN
23.961056512,-0.621630754362995,-0.736146541136218,NaN
23.962056512,-0.604247055433395,-0.743507157472921,NaN
23.963056512,-0.638123045104862,-0.751563742433042,NaN
23.964056512,-0.74747085608618,-0.760532212791044,NaN
23.965056512,-0.661343820627784,-0.769400834320265,NaN
23.966056512,-0.784204373918618,-0.779559014451707,NaN
23.967056512,-0.775822342546222,-0.789877007694302,NaN
23.968056512,-0.804456206201067,-0.801109168457325,NaN
23.969056512,-0.827569171037903,-0.812712424647851,NaN
23.970056512,-0.774782989380736,-0.824932710770333,NaN
23.971056512,-0.794157324598916,-0.838009320484602,NaN
23.972056512,-0.822448805535159,-0.851792604551763,NaN
23.973056512,-0.828821956362905,-0.86604011110547,NaN
23.974056512,-0.765273946575564,-0.880667428135315,NaN
23.975056512,-0.807339164118483,-0.896401938388575,NaN
23.976056512,-0.883681443636385,-0.913167308175698,NaN
23.977056512,-0.868305889110676,-0.930014074061866,NaN
23.978056512,-0.898173076317215,-0.947914250849859,NaN
23.979056512,-0.896305178225256,-0.96622341321804,NaN
23.980056512,-0.912503594920333,-0.985332964637009,NaN
23.981056512,-0.979029572383559,-1.00522108917427,NaN
23.982056512,-0.94138430555307,-1.02559787968768,NaN
23.983056512,-1.06460904260999,-1.04732918607242,NaN
23.984056512,-1.15818962564644,-1.06970699346634,NaN
23.985056512,-1.20190550370544,-1.09267570777031,NaN
23.986056512,-1.15887190173924,-1.11605797775275,NaN
23.987056512,-1.16873460063487,-1.14030614793063,NaN
23.988056512,-1.20265340828358,-1.16556228366041,NaN
23.989056512,-1.2143832287462,-1.19142520493741,NaN
23.990056512,-1.23539510768435,-1.21817987448433,NaN
23.991056512,-1.3008393009894,-1.24568906159444,NaN
23.992056512,-1.31319549629774,-1.27363370798243,NaN
23.993056512,-1.34182484267506,-1.30246520859808,NaN
23.994056512,-1.34314879229227,-1.33184467854493,NaN
23.995056512,-1.42803027321985,-1.36235892783059,NaN
23.996056512,-1.51275764724892,-1.39360884953388,NaN
23.997056512,-1.55095230048131,-1.42530682273603,NaN
23.998056512,-1.58029979304546,-1.45762510032687,NaN
23.999056512,-1.57397131314228,-1.49043579490552,NaN
24.000056512,-1.62770713794167,-1.52418594783815,NaN
24.001056512,-1.71513584619269,-1.55862034012405,NaN
24.002056512,-1.81207104301586,-1.59370427836092,NaN
24.003056512,-1.82094919876844,-1.62917154865734,NaN
24.004056512,-1.9613654276984,-1.66602165035654,NaN
24.005056512,-1.92934661969634,-1.70257256035018,NaN
24.006056512,-1.96365425171118,-1.74017767939861,NaN
24.007056512,-1.97624108841415,-1.77783998090794,NaN
24.008056512,-1.93911280306689,-1.81610591080534,NaN
24.009056512,-1.95246506201379,-1.85552803863349,NaN
24.010056512,-2.02256790836619,-1.8952516161345,NaN
24.011056512,-2.06636395630012,-1.93583271952331,NaN
24.012056512,-2.12519107293147,-1.97673751239439,NaN
24.013056512,-2.10985556499349,-2.01799181490456,NaN
24.014056512,-2.10579280352773,-2.0594834078603,NaN
24.015056512,-2.16711226854652,-2.10193024192858,NaN
24.016056512,-2.19657023143907,-2.14452541819868,NaN
24.017056512,-2.30893145091387,-2.1879865741679,NaN
24.018056512,-2.33358302533732,-2.23137874867219,NaN
24.019056512,-2.41672581119052,-2.27555699441438,NaN
24.020056512,-2.39749986737509,-2.3192971799754,NaN
24.021056512,-2.46064366880059,-2.3639399055151,NaN
24.022056512,-2.49405391075379,-2.40890392328451,NaN
24.023056512,-2.53458258485413,-2.454267218175,NaN
24.024056512,-2.56732334019286,-2.49967704371603,NaN
24.025056512,-2.57787791956022,-2.54544365999539,NaN
24.026056512,-2.63297316200754,-2.59149186641649,NaN
24.027056512,-2.59625831234395,-2.63731868802358,NaN
24.028056512,-2.66127727075429,-2.68382123152171,NaN
24.029056512,-2.71931823544348,-2.73050289032326,NaN
24.030056512,-2.78234970655626,-2.77758876992251,NaN
24.031056512,-2.83564482187286,-2.82444269790241,NaN
24.032056512,-2.90689948140824,-2.87162660220166,NaN
24.033056512,-2.93147155239306,-2.91846429694559,NaN
24.034056512,-2.86988707825197,-2.96500595047061,NaN
24.035056512,-2.88254475462847,-3.01181696038517,NaN
24.036056512,-3.09210953406717,-3.05960750255459,NaN
24.037056512,-3.11235286258959,-3.10652834924865,NaN
24.038056512,-3.15975866085957,-3.15367590095252,NaN
24.039056512,-3.22219850204007,-3.20068120991936,NaN
24.040056512,-3.26497355216822,-3.24748376075175,NaN
24.041056512,-3.28759821421305,-3.29396021224045,NaN
24.042056512,-3.3095956810532,-3.34058254850707,NaN
24.043056512,-3.38432775286571,-3.38696817625481,NaN
24.044056512,-3.46049615206329,-3.43327980497989,NaN
24.045056512,-3.49113313440479,-3.47946513601874,NaN
24.046056512,-3.61840983071873,-3.52531873706073,NaN
24.047056512,-3.67240289704761,-3.57063920956005,NaN
24.048056512,-3.69079052659995,-3.61591999081394,NaN
24.049056512,-3.73218932424434,-3.66068182698262,NaN
24.050056512,-3.69689829451625,-3.70501876396904,NaN
24.051056512,-3.71976804726654,-3.74912560909462,NaN
24.052056512,-3.82072875543924,-3.79306218101182,NaN
24.053056512,-3.80967060166477,-3.83592600188295,NaN
24.054056512,-3.78251579464243,-3.87852558949206,NaN
24.055056512,-3.85924376234101,-3.9209500784593,NaN
24.056056512,-3.86790196377225,-3.96258442388698,NaN
24.057056512,-4.08002273277065,-4.00469492433417,NaN
24.058056512,-4.08101076359785,-4.04540957279253,NaN
24.059056512,-4.19593117790194,-4.08595574000186,NaN
24.060056512,-4.26725310151521,-4.12572718974036,NaN
24.061056512,-4.34415131257806,-4.16522147753189,NaN
24.062056512,-4.3424987852591,-4.20337487673043,NaN
24.063056512,-4.35873341006117,-4.24133477240858,NaN
24.064056512,-4.37894071000408,-4.27864237982334,NaN
24.065056512,-4.46543369182767,-4.31554204851818,NaN
24.066056512,-4.50423333028222,-4.35168671282486,NaN
24.067056512,-4.52354112129873,-4.38656255943837,NaN
24.068056512,-4.48677278539384,-4.42123593846956,NaN
24.069056512,-4.56176005825558,-4.45519710454491,NaN
24.070056512,-4.54616473315498,-4.48815575914343,NaN
24.071056512,-4.56159393976753,-4.52064466142421,NaN
24.072056512,-4.5608254704727,-4.55215010335932,NaN
24.073056512,-4.58765589549988,-4.58283911102979,NaN
24.074056512,-4.55149848174842,-4.61258005205497,NaN
24.075056512,-4.61684607465665,-4.6418880870738,NaN
24.076056512,-4.67948448996163,-4.67033005607482,NaN
24.077056512,-4.66376221141383,-4.69800105039832,NaN
24.078056512,-4.75040929974732,-4.72473077189369,NaN
24.079056512,-4.75182738342937,-4.75073125787864,NaN
24.080056512,-4.72929741259252,-4.7756367934528,NaN
24.081056512,-4.79498881141773,-4.80010960435034,NaN
24.082056512,-4.82281950136588,-4.82377661140685,NaN
24.083056512,-4.84293146523035,-4.84640668614223,NaN
24.084056512,-4.9268424231148,-4.8684035085077,NaN
24.085056512,-4.95635441203476,-4.88944550267557,NaN
24.086056512,-4.93915396262924,-4.90964373767669,NaN
24.087056512,-4.97621386180983,-4.92922140227815,NaN
24.088056512,-4.96195518922792,-4.94785089741265,NaN
24.089056512,-5.02277038429568,-4.96559094079325,NaN
24.090056512,-4.96584798391946,-4.98218481665043,NaN
24.091056512,-4.97405060983694,-4.99815389723354,NaN
24.092056512,-5.03002182205134,-5.01351231857913,NaN
24.093056512,-4.91597096474357,-5.02762296445605,NaN
24.094056512,-4.82124664147822,-5.04076616089155,NaN
24.095056512,-4.89914050679616,-5.05358474041201,NaN
24.096056512,-4.9303663371515,-5.0656171619492,NaN
