idx_id_wdw_csv,idx_interp_spl_csv,K_med_err_csv
151,227,0.0440482
154,227,0.055587
157,227,0.03602894
160,227,0.04909744
163,227,0.0565021
166,227,0.06274044
169,227,0.0846756
172,227,0.07486921
175,227,0.09066287
178,227,0.08196814
181,227,0.07697155
184,227,0.07600643
187,227,0.04666214
190,227,0.06708298
193,227,0.07205102
196,227,0.07253505
199,227,0.03746687
202,227,0.03680267
205,227,0.03283931
208,227,0.02013201
211,227,0.03487255
214,227,0.05395704
217,227,0.02625362
220,227,0.02400524
223,227,0.01932635
226,227,0.01582707
229,227,0.01547721
232,227,0.01547721
235,227,0.01547721
238,227,0.01547721
241,227,0.01547721
244,227,0.01547721
247,227,0.01547721
250,227,0.01547721
253,227,0.01547721
256,227,0.01547721
259,227,0.01547721
262,227,0.01547721
265,227,0.01547721
268,227,0.01547721
271,227,0.01547721
274,227,0.01547721
277,227,0.01547721
280,227,0.01547721
283,227,0.01547721
286,227,0.01547721
289,227,0.01547721
292,227,0.01547721
295,227,0.01547721
298,227,0.01547721
100,230,0.01350621
103,230,0.02321581
106,230,0.0519807
109,230,0.06380419
112,230,0.03232672
115,230,0.03767744
118,230,0.07539945
121,230,0.04467283
124,230,0.0454943
127,230,0.03495952
130,230,0.05005253
133,230,0.0556985
136,230,0.09755903
139,230,0.08542655
142,230,0.07763094
145,230,0.1058261
148,230,0.06747415
151,230,0.05510058
154,230,0.1025439
157,230,0.06648777
160,230,0.06160921
163,230,0.06755415
166,230,0.04276363
169,230,0.07693776
172,230,0.09370858
175,230,0.07229429
178,230,0.06892711
181,230,0.1091704
184,230,0.09366608
187,230,0.09239774
190,230,0.08154897
193,230,0.07469276
196,230,0.07412458
199,230,0.01220681
202,230,0.05714079
205,230,0.04248134
208,230,0.01176714
211,230,0.03947645
214,230,0.07307924
217,230,0.03651385
220,230,0.04087437
223,230,0.05951854
226,230,0.002778081
229,230,0.0007947649
232,230,0.0008674621
235,230,0.0008674621
238,230,0.0008674621
241,230,0.0008674621
244,230,0.0008674621
247,230,0.0008674621
250,230,0.0008674621
253,230,0.0008674621
256,230,0.0008674621
259,230,0.0008674621
262,230,0.0008674621
265,230,0.0008674621
268,230,0.0008674621
271,230,0.0008674621
274,230,0.0008674621
277,230,0.0008674621
280,230,0.0008674621
283,230,0.0008674621
286,230,0.0008674621
289,230,0.0008674621
292,230,0.0008674621
295,230,0.0008674621
298,230,0.0008674621
100,233,0.07574234
103,233,0.04317987
106,233,0.00346102
109,233,0.04290771
112,233,0.03230591
115,233,0.01067843
118,233,0.03744801
121,233,0.08558579
124,233,0.09323186
127,233,0.0866527
130,233,0.0941427
133,233,0.099337
136,233,0.1147432
139,233,0.1259542
142,233,0.1232913
145,233,0.1234438
148,233,0.1394935
151,233,0.09985106
154,233,0.1005469
157,233,0.09931668
160,233,0.09266859
163,233,0.09198783
166,233,0.06513694
169,233,0.1026724
172,233,0.1328766
175,233,0.1320786
178,233,0.1057726
181,233,0.1218768
184,233,0.1305461
187,233,0.09670039
190,233,0.09717266
193,233,0.1024355
196,233,0.08087082
199,233,0.06207232
202,233,0.05184675
205,233,0.05381916
208,233,0.04209867
211,233,0.03900702
214,233,0.04682399
217,233,0.05025471
220,233,0.05180032
223,233,0.04201791
226,233,0.0427536
229,233,0.06149673
232,233,0.08164368
235,233,0.08607516
238,233,0.08607516
241,233,0.08607516
244,233,0.08607516
247,233,0.08607516
250,233,0.08607516
253,233,0.08607516
256,233,0.08607516
259,233,0.08607516
262,233,0.08607516
265,233,0.08607516
268,233,0.08607516
271,233,0.08607516
274,233,0.08607516
277,233,0.08607516
280,233,0.08607516
283,233,0.08607516
286,233,0.08607516
289,233,0.08607516
292,233,0.08607516
295,233,0.08607516
298,233,0.08607516
100,236,0.04770148
103,236,0.0343095
106,236,0.00921075
109,236,0.009329006
112,236,0.02675247
115,236,0.02667171
118,236,0.08432791
121,236,0.1137087
124,236,0.09781636
127,236,0.1029445
130,236,0.112127
133,236,0.119382
136,236,0.1498609
139,236,0.1522281
142,236,0.1325494
145,236,0.1183325
148,236,0.1468572
151,236,0.1237558
154,236,0.137635
157,236,0.1369421
160,236,0.1207084
163,236,0.1076412
166,236,0.09035791
169,236,0.1165395
172,236,0.1384077
175,236,0.1500736
178,236,0.1209667
181,236,0.1195217
184,236,0.1323942
187,236,0.1301183
190,236,0.133782
193,236,0.1503735
196,236,0.1348354
199,236,0.09689064
202,236,0.08316226
205,236,0.110997
208,236,0.1004312
211,236,0.07255151
214,236,0.0708895
217,236,0.121144
220,236,0.08787657
223,236,0.08812866
226,236,0.08817308
229,236,0.09446062
232,236,0.1046591
235,236,0.1068026
238,236,0.117121
241,236,0.117121
244,236,0.117121
247,236,0.117121
250,236,0.117121
253,236,0.117121
256,236,0.117121
259,236,0.117121
262,236,0.117121
265,236,0.117121
268,236,0.117121
271,236,0.117121
274,236,0.117121
277,236,0.117121
280,236,0.117121
283,236,0.117121
286,236,0.117121
289,236,0.117121
292,236,0.117121
295,236,0.117121
298,236,0.117121
100,239,0.08852533
103,239,0.03545162
106,239,0.005628749
109,239,0.0180736
112,239,0.02875421
115,239,0.01973583
118,239,0.1047491
121,239,0.1050556
124,239,0.07458605
127,239,0.1099162
130,239,0.106645
133,239,0.09125639
136,239,0.1045319
139,239,0.09097824
142,239,0.1308515
145,239,0.1345876
148,239,0.1394038
151,239,0.1306404
154,239,0.1419951
157,239,0.1431044
160,239,0.1034276
163,239,0.099023
166,239,0.08432356
169,239,0.1124938
172,239,0.111975
175,239,0.1324579
178,239,0.1327266
181,239,0.129087
184,239,0.1407961
187,239,0.1402748
190,239,0.1536783
193,239,0.1618837
196,239,0.1311454
199,239,0.09980251
202,239,0.103263
205,239,0.09577501
208,239,0.1070039
211,239,0.09241764
214,239,0.09209894
217,239,0.1070321
220,239,0.09293012
223,239,0.09008936
226,239,0.08979672
229,239,0.09361327
232,239,0.09074996
235,239,0.09515315
238,239,0.09564198
241,239,0.09630274
244,239,0.09630274
247,239,0.09630274
250,239,0.09630274
253,239,0.09630274
256,239,0.09630274
259,239,0.09630274
262,239,0.09630274
265,239,0.09630274
268,239,0.09630274
271,239,0.09630274
274,239,0.09630274
277,239,0.09630274
280,239,0.09630274
283,239,0.09630274
286,239,0.09630274
289,239,0.09630274
292,239,0.09630274
295,239,0.09630274
298,239,0.09630274
100,242,0.09364847
103,242,0.05921119
106,242,0.07386137
109,242,0.0214823
112,242,0.04190957
115,242,0.04061323
118,242,0.09561179
121,242,0.1437242
124,242,0.116361
127,242,0.09405098
130,242,0.09962442
133,242,0.09679462
136,242,0.1099783
139,242,0.1399002
142,242,0.1296489
145,242,0.1507448
148,242,0.1326018
151,242,0.09127878
154,242,0.1112494
157,242,0.1142374
160,242,0.09826311
163,242,0.1202951
166,242,0.09640764
169,242,0.1223749
172,242,0.1562421
175,242,0.1404332
178,242,0.1614095
181,242,0.1545535
184,242,0.1492275
187,242,0.1415757
190,242,0.1582483
