time,force,filtered
149.07149024,2.23585412255656,2.21203524975947
149.07249024,2.17655221820875,2.17865804726288
149.07349024,2.12251138409944,2.14471926365676
149.07449024,2.12512176828665,2.11055511260978
149.07549024,2.11031557470161,2.07618091752164
149.07649024,2.02328604156026,2.04123442374745
149.07749024,1.92474250224442,2.0059070596208
149.07849024,1.91287440335708,1.97055810991874
149.07949024,1.96158972517386,1.9349701184283
149.08049024,1.97691630360936,1.89898158181715
149.08149024,1.94589257117418,1.86279197762532
149.08249024,1.88720384326673,1.82626422723246
149.08349024,1.86786246066052,1.78969303336237
149.08449024,1.7637352983791,1.75281807451531
149.08549024,1.76790141362202,1.71590468341442
149.08649024,1.7717748498712,1.6787837491906
149.08749024,1.7754130751639,1.64162562310166
149.08849024,1.69376837700002,1.60418510653637
149.08949024,1.66177009648196,1.56674141347404
149.09049024,1.6117549939023,1.52942786468821
149.09149024,1.52537731012368,1.49167823599791
149.09249024,1.47358720862797,1.4542790755694
149.09349024,1.41211196517633,1.41663206955898
149.09449024,1.40485524515942,1.37917014788474
149.09549024,1.38041705561296,1.34223627034205
149.09649024,1.30618839353958,1.30506587181928
149.09749024,1.244452667097,1.26821560905647
149.09849024,1.23571886674657,1.23173678507283
149.09949024,1.17675011507397,1.19517247995105
149.10049024,1.16548997292982,1.15867345544842
149.10149024,1.15938365208258,1.12295236739
149.10249024,1.15022869922165,1.08727122765453
149.10349024,1.09556701342581,1.05191567928619
149.10449024,1.09575474001032,1.01694138753842
149.10549024,1.05590382706052,0.982087738795549
149.10649024,1.04169752396257,0.94760972101512
149.10749024,0.958245805296528,0.913548903113272
149.10849024,0.957668092785084,0.879879524662959
149.10949024,0.985261062464922,0.847008589723844
149.11049024,0.952146616259646,0.814702044280542
149.11149024,0.851871614594743,0.781963074474844
149.11249024,0.850933119685122,0.750302289697676
149.11349024,0.812050034196885,0.718730358932267
149.11449024,0.835193848536808,0.688351772845726
149.11549024,0.790212388383883,0.658380545162298
149.11649024,0.731049445778371,0.628843632931616
149.11749024,0.65596051801179,0.600116659549938
149.11849024,0.549697427859706,0.571630586250171
149.11949024,0.621824584309647,0.544439021726975
149.12049024,0.567098004453975,0.517324472922979
149.12149024,0.578601551613901,0.491590713557646
149.12249024,0.525200592893264,0.465855803414772
149.12349024,0.51626788297517,0.441502759337219
149.12449024,0.435489956123752,0.417241480666532
149.12549024,0.396600627159605,0.393983674871091
149.12649024,0.405319063516865,0.371280155671665
149.12749024,0.352876573407678,0.349493220512671
149.12849024,0.253867691781122,0.328230295896727
149.12949024,0.276538779951463,0.308325306046639
149.13049024,0.268589980417268,0.28896392757309
149.13149024,0.1123094257812,0.269946547722501
149.13249024,0.0700502912665357,0.251915396607275
149.13349024,0.0423652107317913,0.234808690072304
149.13449024,0.0888748215580799,0.218653134078755
149.13549024,0.0615660582494233,0.203461411351892
149.13649024,0.0593969091883599,0.18911603725991
149.13749024,0.0789776139751315,0.175533064070894
149.13849024,0.0964683313788324,0.162846629805622
149.13949024,0.102959806532573,0.150919002452141
149.14049024,0.0988240431682612,0.139687157180046
149.14149024,0.0968321118060167,0.129253834540255
149.14249024,0.14178855433029,0.119908812464556
149.14349024,0.075082007645028,0.111041952541357
149.14449024,0.112143886098683,0.103685688647908
149.14549024,0.145333934830397,0.0967138483669012
149.14649024,0.139236984199403,0.0905470443722978
149.14749024,0.24129596670192,0.0854198930296839
149.14849024,0.25798699166955,0.0807975227625561
149.14949024,0.241053230365447,0.0770689214362842
149.15049024,0.206974988403732,0.0738272933154913
149.15149024,0.161462429520745,0.0711964444266423
149.15249024,0.0938517304194788,0.0695153022638633
149.15349024,0.138762130854541,0.0686306296878026
149.15449024,0.0699928001177259,0.0685017367763592
149.15549024,0.0964953924037422,0.0692564147039055
149.15649024,0.0134991834955513,0.0705626558302632
149.15749024,0.0120217542885936,0.072551562884537
149.15849024,-0.0157361392590909,0.0752074196818729
149.15949024,0.074000772358999,0.0788285491907749
149.16049024,0.0848712390338073,0.0828557082798433
149.16149024,0.170979544107902,0.0878038106495537
149.16249024,0.0922548151770795,0.0930356087863191
149.16349024,0.115720011026767,0.0989394296147089
149.16449024,0.205506979340544,0.105614302436393
149.16549024,0.14224341142297,0.1124500129486
149.16649024,0.211095415444038,0.119961061502281
149.16749024,0.305659315098524,0.1280472909679
149.16849024,0.221965237609773,0.136063890679909
149.16949024,0.21858285644814,0.144949016325847
149.17049024,0.166133720852624,0.153806739351114
149.17149024,0.210336365606593,0.163508197160859
149.17249024,0.340717025771183,0.173837852453654
149.17349024,0.397748873655597,0.184314658230757
149.17449024,0.281722513506542,0.194427152545746
149.17549024,0.277465366261681,0.205431399252317
149.17649024,0.248140629892356,0.216506259711496
149.17749024,0.319115980002518,0.228249276483037
149.17849024,0.343747520273855,0.239896546068464
149.17949024,0.372091427740736,0.251751302892409
149.18049024,0.420421314967489,0.263877402191745
149.18149024,0.402346121799267,0.275758908520017
149.18249024,0.351389318954839,0.288026356754711
149.18349024,0.409652343671829,0.30055283802103
149.18449024,0.373041637211195,0.313014255639416
149.18549024,0.37943899815178,0.325380250347003
149.18649024,0.317380920109013,0.337597995261022
149.18749024,0.389530215116925,0.350130730691894
149.18849024,0.345729594562395,0.362336004540596
149.18949024,0.360669677447794,0.374533159594507
149.19049024,0.285693875681523,0.386629184461773
149.19149024,0.28992270753626,0.398680193429815
149.19249024,0.364637110628825,0.410828852793763
149.19349024,0.386915793555631,0.422467799100005
149.19449024,0.352098693368217,0.433907455649453
149.19549024,0.395807690075739,0.445330019370114
149.19649024,0.460875303148305,0.456483619243868
149.19749024,0.436186659771949,0.467160195639211
149.19849024,0.428522429174973,0.477628629407744
149.19949024,0.546410440181877,0.487908869922431
149.20049024,0.573798557061505,0.497796977752981
149.20149024,0.583807696167653,0.507284707266202
149.20249024,0.58382521338375,0.516322870806394
149.20349024,0.558432277178205,0.524804430742442
149.20449024,0.582498059204043,0.532991140350138
149.20549024,0.57768580297327,0.54064651560708
149.20649024,0.514546763096034,0.547692749801307
149.20749024,0.640929215170877,0.555240450104858
149.20849024,0.597439147999394,0.561337614002145
149.20949024,0.561329085969783,0.567244435267973
149.21049024,0.536805735083809,0.572271600593841
149.21149024,0.54029272000168,0.576853379268968
149.21249024,0.52047054224886,0.58114720800323
149.21349024,0.520960827318962,0.584728690645576
149.21449024,0.489883847029362,0.587586578064379
149.21549024,0.529443482705473,0.590024176438456
149.21649024,0.562063888771949,0.592196071228788
149.21749024,0.507859845090299,0.593435600552478
149.21849024,0.507482507768085,0.593961123987725
149.21949024,0.514999563979267,0.594012842971923
149.22049024,0.51702482496248,0.593119658277657
149.22149024,0.586959079386321,0.592264884071261
149.22249024,0.60765779202222,0.590427770333262
149.22349024,0.566721631141655,0.587588338319059
149.22449024,0.535805250481673,0.584553486411305
149.22549024,0.566497306840859,0.580808878759359
149.22649024,0.649939039888497,0.576377552279589
149.22749024,0.726062683546793,0.571454382347187
149.22849024,0.694153011032689,0.565288944213398
149.22949024,0.634803460510015,0.558565350569078
149.23049024,0.642236394615924,0.551441311374102
149.23149024,0.629560398985452,0.543406686275704
149.23249024,0.580643449379158,0.53439215926394
149.23349024,0.555617122134108,0.525007746003672
149.23449024,0.551960450363103,0.514955105607616
149.23549024,0.535501480236691,0.504512813451685
149.23649024,0.463115198988884,0.492881938232646
149.23749024,0.328512155691421,0.480678561846374
149.23849024,0.346157613613017,0.468160814264693
149.23949024,0.375471305576127,0.455205975072198
149.24049024,0.383078103449197,0.441353412426857
149.24149024,0.385129746082683,0.426916399385629
149.24249024,0.406691564048889,0.41227485124124
149.24349024,0.40483142813137,0.396672443402712
149.24449024,0.323652437141802,0.380274902742069
149.24549024,0.405318174399796,0.363818160806516
149.24649024,0.453251911895227,0.346814413118093
149.24749024,0.475906133345476,0.329203545622588
149.24849024,0.466373108866919,0.310759462613493
149.24949024,0.39999409060412,0.291661675985898
149.25049024,0.381896207901222,0.272356416045783
149.25149024,0.289825321570253,0.252196409129723
149.25249024,0.194492241350195,0.231578236080362
149.25349024,0.153105539982626,0.210507304245783
149.25449024,0.121575572657373,0.189284913675687
149.25549024,0.13292690706976,0.167807184496002
149.25649024,0.0745511304858972,0.145692876291301
149.25749024,-0.0454743599584646,0.122733992268879
149.25849024,-0.0825388203997659,0.0998560333989821
149.25949024,-0.0500463727799982,0.076797265170577
149.26049024,-0.00609097491053512,0.0535084133475035
149.26149024,0.00402472365538409,0.0298307651049424
149.26249024,0.0131030454934589,0.00568452100431985
149.26349024,-0.0092665295368517,-0.0186479959950862
149.26449024,-0.0503003873759531,-0.0434863619297796
149.26549024,-0.152913800458836,-0.0686587791577506
149.26649024,-0.0867865486389101,-0.0935460680674638
149.26749024,-0.0449341983372316,-0.118892366967863
149.26849024,-0.115400207875503,-0.144844694853899
149.26949024,-0.104944252561589,-0.170555148086991
149.27049024,-0.163790417540947,-0.196530924140136
149.27149024,-0.189624983922695,-0.222506560130687
149.27249024,-0.233984510897247,-0.248833840881622
149.27349024,-0.199545705079586,-0.274791176190627
149.27449024,-0.241630091905114,-0.300934246963741
149.27549024,-0.306473444614629,-0.327481579824041
149.27649024,-0.291756625930805,-0.353551815272038
149.27749024,-0.397363499444092,-0.380352617895747
149.27849024,-0.369271241180148,-0.406522372741762
149.27949024,-0.420996680424597,-0.433039021437806
149.28049024,-0.382001611065553,-0.458893441103238
149.28149024,-0.373021703703991,-0.484755499019367
149.28249024,-0.425531757206751,-0.511016813225902
149.28349024,-0.478907768068167,-0.537057875530012
149.28449024,-0.54575004672919,-0.562755746359264
149.28549024,-0.548141672529093,-0.588395931952242
149.28649024,-0.576274096354537,-0.613865117225001
149.28749024,-0.557374090586079,-0.639312638837741
149.28849024,-0.612071123762729,-0.664470615541102
149.28949024,-0.599162292274357,-0.689348386177074
149.29049024,-0.674414426123071,-0.714521082098531
149.29149024,-0.741506627677393,-0.739004396180058
149.29249024,-0.714657761123097,-0.763303170495888
149.29349024,-0.782241576917945,-0.787469365497717
149.29449024,-0.80009572282621,-0.811269439338693
149.29549024,-0.839224285827862,-0.834743013262944
149.29649024,-0.897647741677302,-0.858260335745682
149.29749024,-0.98374307642851,-0.881108025531317
149.29849024,-0.979303045236493,-0.903739013627161
149.29949024,-0.951010103534902,-0.925917552210291
149.30049024,-0.937411047370604,-0.947719397875217
