time,j4_torque,j4_torque_cmd
140.137,0.477972,0.499698
140.138,0.477972,0.499698
140.139,0.477972,0.499698
140.14,0.477972,0.499698
140.141,0.477972,0.499698
140.142,0.477972,0.499698
140.143,0.477972,0.499698
140.144,0.474473477905118,0.499698
140.145,0.474351,0.499698
140.146,0.474351,0.499698
140.147,0.474351,0.499698
140.148,0.474351,0.499698
140.149,0.474351,0.499698
140.15,0.474351,0.499698
140.151,0.474351,0.499698
140.152,0.474351,0.499698
140.153,0.477894975068623,0.499698
140.154,0.477972,0.499698
140.155,0.477972,0.499698
140.156,0.477972,0.499698
140.157,0.477972,0.499698
140.158,0.477972,0.499698
140.159,0.477972,0.499698
140.16,0.477950637168107,0.499698
140.161,0.47474107709325,0.499698
140.162,0.474351,0.499698
140.163,0.474351,0.499698
140.164,0.474351,0.499698
140.165,0.474351,0.499698
140.166,0.474351,0.499698
140.167,0.474351,0.499698
140.168,0.474351,0.499698
140.169,0.463488,0.499698
140.17,0.463488,0.499698
140.171,0.463488,0.499698
140.172,0.463488,0.499698
140.173,0.463488,0.499698
140.174,0.463488,0.499698
140.175,0.463488,0.499698
140.176,0.463488,0.499698
140.177,0.463488,0.499698
140.178,0.456246,0.499698
140.179,0.456246,0.499698
140.18,0.456246,0.499698
140.181,0.456246,0.499698
140.182,0.456246,0.499698
140.183,0.456246,0.499698
140.184,0.456246,0.499698
140.185,0.456394709700095,0.499698
140.186,0.459867,0.499698
140.187,0.459867,0.499698
140.188,0.459867,0.499698
140.189,0.459867,0.499698
140.19,0.459867,0.499698
140.191,0.459867,0.499698
140.192,0.459867,0.499698
140.193,0.459867,0.499698
140.194,0.460763133014087,0.499698
140.195,0.477972,0.499698
140.196,0.477972,0.499698
140.197,0.477972,0.499698
140.198,0.477972,0.499698
140.199,0.477972,0.499698
140.2,0.477972,0.499698
140.201,0.477972,0.499698
140.202,0.477972,0.499698
140.203,0.477972,0.499698
140.204,0.477972,0.499698
140.205,0.477972,0.499698
140.206,0.477972,0.499698
140.207,0.477972,0.499698
140.208,0.477972,0.499698
140.209,0.477972,0.499698
140.21,0.477972,0.499698
140.211,0.477972,0.499698
140.212,0.477972,0.499698
140.213,0.477972,0.499698
140.214,0.477972,0.499698
140.215,0.477972,0.499698
140.216,0.477972,0.499698
140.217,0.477972,0.499698
140.218,0.477972,0.499698
140.219,0.477476235591422,0.499698
140.22,0.459867,0.499698
140.221,0.459867,0.499698
140.222,0.459867,0.499698
140.223,0.459867,0.499698
140.224,0.459867,0.499698
140.225,0.459867,0.499698
140.226,0.459867,0.499698
140.227,0.459867,0.499698
140.228,0.474291287554786,0.499698
140.229,0.474351,0.499698
140.23,0.474351,0.499698
140.231,0.474351,0.499698
140.232,0.474351,0.499698
140.233,0.474351,0.499698
140.234,0.474351,0.499698
140.235,0.474351,0.499698
140.236,0.474351,0.499698
140.237,0.481544067567637,0.499698
140.238,0.481593,0.499698
140.239,0.481593,0.499698
140.24,0.481593,0.499698
140.241,0.481593,0.499698
140.242,0.481593,0.499698
140.243,0.481593,0.499698
140.244,0.481593,0.499698
140.245,0.481593,0.499698
140.246,0.481593,0.499698
140.247,0.481593,0.499698
140.248,0.481593,0.499698
140.249,0.481593,0.499698
140.25,0.481593,0.499698
140.251,0.481593,0.499698
140.252,0.481593,0.499698
140.253,0.464261437265559,0.499698
140.254,0.463488,0.499698
140.255,0.463488,0.499698
140.256,0.463488,0.499698
140.257,0.463488,0.499698
140.258,0.463488,0.499698
140.259,0.463488,0.499698
140.26,0.463488,0.499698
140.261,0.463488,0.499698
140.262,0.466946744940859,0.499698
140.263,0.467109,0.499698
140.264,0.467109,0.499698
140.265,0.467109,0.499698
140.266,0.467109,0.499698
140.267,0.467109,0.499698
140.268,0.467109,0.499698
140.269,0.467532810676274,0.499698
140.27,0.485214,0.499698
140.271,0.485214,0.499698
140.272,0.485214,0.499698
140.273,0.485214,0.499698
140.274,0.485214,0.499698
140.275,0.485214,0.499698
140.276,0.485214,0.499698
140.277,0.485214,0.499698
140.278,0.474351,0.499698
140.279,0.474351,0.499698
140.28,0.474351,0.499698
140.281,0.474351,0.499698
140.282,0.474351,0.499698
140.283,0.474351,0.499698
140.284,0.474351,0.499698
140.285,0.474351,0.499698
140.286,0.474351,0.499698
140.287,0.491819149282932,0.499698
140.288,0.492456,0.499698
140.289,0.492456,0.499698
140.29,0.492456,0.499698
140.291,0.492456,0.499698
140.292,0.492456,0.499698
140.293,0.492456,0.499698
140.294,0.492456,0.499698
140.295,0.475402158894797,0.499698
140.296,0.474351,0.499698
140.297,0.474351,0.499698
140.298,0.474351,0.499698
140.299,0.474351,0.499698
140.3,0.474351,0.499698
140.301,0.474351,0.499698
140.302,0.474351,0.499698
140.303,0.474351,0.499698
140.304,0.477894646073885,0.499698
140.305,0.477972,0.499698
140.306,0.477972,0.499698
140.307,0.477972,0.499698
140.308,0.477972,0.499698
140.309,0.477972,0.499698
140.31,0.477972,0.499698
140.311,0.477972,0.499698
140.312,0.471552163424059,0.499698
140.313,0.47073,0.499698
140.314,0.47073,0.499698
140.315,0.47073,0.499698
140.316,0.47073,0.499698
140.317,0.47073,0.499698
140.318,0.47073,0.499698
140.319,0.47073,0.499698
140.32,0.47073,0.499698
140.321,0.467109,0.499698
140.322,0.467109,0.499698
140.323,0.467109,0.499698
140.324,0.467109,0.499698
140.325,0.467109,0.499698
140.326,0.467109,0.499698
140.327,0.467109,0.499698
140.328,0.467109,0.499698
140.329,0.477972,0.499698
140.33,0.477972,0.499698
140.331,0.477972,0.499698
140.332,0.477972,0.499698
140.333,0.477972,0.499698
140.334,0.477972,0.499698
140.335,0.477972,0.499698
140.336,0.477706655849181,0.499698
140.337,0.463488,0.499698
140.338,0.463488,0.499698
140.339,0.463488,0.499698
140.34,0.463488,0.499698
140.341,0.463488,0.499698
140.342,0.463488,0.499698
140.343,0.463488,0.499698
140.344,0.463488,0.499698
140.345,0.463740085998286,0.499698
140.346,0.474351,0.499698
140.347,0.474351,0.499698
140.348,0.474351,0.499698
140.349,0.474351,0.499698
140.35,0.474351,0.499698
140.351,0.474351,0.499698
140.352,0.474351,0.499698
140.353,0.474542266426258,0.499698
140.354,0.488835,0.499698
140.355,0.488835,0.499698
140.356,0.488835,0.499698
140.357,0.488835,0.499698
140.358,0.488835,0.499698
140.359,0.488835,0.499698
140.36,0.488835,0.499698
140.361,0.488769041974716,0.499698
140.362,0.474351,0.499698
140.363,0.474351,0.499698
140.364,0.474351,0.499698
140.365,0.474351,0.499698
140.366,0.474351,0.499698
