%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1583774106788833811,518,1583774106788749189,base_link,-16.666849,2.097737,-8.209538,0.063169,0.813157,0.027869
1583774106789386384,519,1583774106789322827,base_link,-16.621831,2.090051,-8.369196,0.062513,0.813217,0.027604
1583774106790247692,520,1583774106790183872,base_link,-16.621178,2.121999,-8.414027,0.063701,0.814199,0.028465
1583774106790784885,521,1583774106790720106,base_link,-16.721825,2.018288,-8.410284,0.061917,0.8131,0.028209
1583774106791393143,522,1583774106791329098,base_link,-16.578805,2.081801,-8.450065,0.063782,0.813678,0.027395
1583774106792265345,523,1583774106792190772,base_link,-16.664173,2.131097,-8.391794,0.063079,0.813732,0.02803
1583774106792814805,524,1583774106792752470,base_link,-16.607121,2.112886,-8.35227,0.063009,0.814095,0.028263
1583774106793402292,525,1583774106793335500,base_link,-16.678599,2.108312,-8.45184,0.063226,0.813241,0.028007
1583774106794266657,526,1583774106794198595,base_link,-16.694496,2.1157,-8.314332,0.063586,0.813176,0.028899
1583774106794842333,527,1583774106794776327,base_link,-16.687205,2.104365,-8.936214,0.063178,0.813728,0.034001
1583774106795406710,528,1583774106795343500,base_link,-16.701295,2.180705,-9.036022,0.064335,0.813102,0.033342
1583774106796275562,529,1583774106796210816,base_link,-16.646086,2.11293,-8.867842,0.0636,0.812855,0.031693
1583774106796866661,530,1583774106796785473,base_link,-16.673442,2.080567,-8.930896,0.062704,0.813031,0.03272
1583774106797420613,531,1583774106797349250,base_link,-16.645203,2.110913,-8.850006,0.063267,0.813811,0.03234
1583774106797993425,532,1583774106797931658,base_link,-16.706017,2.077267,-8.603452,0.063945,0.813627,0.030937
1583774106798857962,533,1583774106798791464,base_link,-16.664151,2.083849,-8.478605,0.06339,0.813335,0.029909
1583774106799420002,534,1583774106799360090,base_link,-16.691843,2.065349,-8.493182,0.06356,0.814838,0.02823
1583774106800005471,535,1583774106799933312,base_link,-16.73634,2.156445,-8.336409,0.063508,0.813686,0.029316
1583774106800884945,536,1583774106800800101,base_link,-16.692627,2.063832,-8.36971,0.062909,0.814839,0.027623
1583774106801478086,537,1583774106801366878,base_link,-16.664375,2.031053,-8.350234,0.062386,0.814435,0.028043
1583774106802051949,538,1583774106801943825,base_link,-16.694228,2.097577,-8.295264,0.063784,0.814122,0.029131
1583774106802889353,539,1583774106802822202,base_link,-16.63482,2.045933,-8.310502,0.060912,0.814436,0.02846
1583774106803427264,540,1583774106803346555,base_link,-16.690869,2.096592,-8.430292,0.061851,0.814848,0.027801
1583774106804049476,541,1583774106803950790,base_link,-16.635916,2.065472,-8.427887,0.063293,0.813867,0.026969
1583774106804942821,542,1583774106804814707,base_link,-16.744467,2.10153,-7.706232,0.064421,0.813649,0.021902
1583774106805452349,543,1583774106805375017,base_link,-16.701861,2.127879,-7.730646,0.064321,0.812426,0.023152
1583774106806040230,544,1583774106805959736,base_link,-16.599798,2.152358,-7.935641,0.06555,0.813079,0.023758
1583774106806884254,545,1583774106806824329,base_link,-16.698046,2.096951,-8.055996,0.064103,0.813148,0.024117
1583774106807458312,546,1583774106807393423,base_link,-16.656587,2.104878,-7.940188,0.063877,0.812309,0.025624
1583774106808028313,547,1583774106807962933,base_link,-16.639247,2.159224,-8.040604,0.063951,0.814325,0.025196
1583774106808895272,548,1583774106808827686,base_link,-16.694366,2.1293,-8.247135,0.063685,0.814314,0.026817
1583774106809461536,549,1583774106809401117,base_link,-16.652684,2.125896,-8.314833,0.063695,0.811746,0.029098
1583774106810075204,550,1583774106809981615,base_link,-16.679183,2.138238,-8.317324,0.063759,0.81424,0.029549
1583774106810873890,551,1583774106810807250,base_link,-16.635273,2.115272,-8.432187,0.062674,0.813331,0.028222
1583774106811521392,552,1583774106811409187,base_link,-16.621636,2.072771,-8.388324,0.063037,0.813967,0.027192
1583774106812067837,553,1583774106811987504,base_link,-16.708818,2.092919,-8.394818,0.064055,0.812875,0.028877
1583774106812904224,554,1583774106812835610,base_link,-16.607329,2.113762,-8.351827,0.062693,0.813522,0.028251
1583774106813483677,555,1583774106813418528,base_link,-16.692086,2.080782,-8.40914,0.062705,0.814652,0.027394
1583774106814050379,556,1583774106813957211,base_link,-16.722464,2.148528,-8.376928,0.064752,0.813966,0.029114
1583774106814941343,557,1583774106814856580,base_link,-16.615001,2.128588,-9.020063,0.064057,0.814016,0.034633
1583774106815556872,558,1583774106815431751,base_link,-16.716941,2.140341,-8.994043,0.064683,0.812798,0.032933
1583774106816034961,559,1583774106815964387,base_link,-16.701602,2.080658,-8.974023,0.06332,0.813614,0.033355
1583774106816676825,560,1583774106816583193,base_link,-16.702225,2.111915,-8.85182,0.062897,0.813637,0.032962
1583774106817516989,561,1583774106817435935,base_link,-16.674828,2.109216,-8.791586,0.065159,0.815167,0.032399
1583774106818094238,562,1583774106818027559,base_link,-16.661476,2.151824,-8.686164,0.063216,0.812989,0.031531
1583774106818680637,563,1583774106818580838,base_link,-16.691002,2.08335,-8.582009,0.063682,0.814481,0.030528
1583774106819503850,564,1583774106819440498,base_link,-16.737036,2.138885,-8.336581,0.065316,0.814826,0.028932
1583774106820094551,565,1583774106820014975,base_link,-16.720995,2.013013,-8.331182,0.062531,0.815775,0.028274
1583774106820691238,566,1583774106820589009,base_link,-16.736585,2.057206,-8.351245,0.063463,0.814377,0.028051
1583774106821514442,567,1583774106821449107,base_link,-16.706629,2.104831,-8.37186,0.06318,0.814967,0.028049
1583774106822087394,568,1583774106822025059,base_link,-16.678099,2.137523,-8.37088,0.063435,0.814787,0.027629
1583774106822668359,569,1583774106822603238,base_link,-16.751011,2.097664,-8.315719,0.064052,0.814706,0.02913
1583774106823506666,570,1583774106823442456,base_link,-16.663718,2.115314,-8.432195,0.062647,0.813528,0.028221
