%time,field.poisonStamp.originator,field.poisonStamp.description,field.poisonStamp.qos,field.torques0.timeStamp,field.torques0.joint_uri,field.torques0.unit,field.torques0.value
1583862915958071447,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915991581351,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915992426563,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915993442729,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915994419857,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915995426390,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915996435401,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915997418549,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915998488479,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862916029808983,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862916030864729,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862916031557805,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862916032568375,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862916033526384,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862916034582051,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862916035517099,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862916036524868,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862916037540693,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862916038559377,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862916071123166,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862916071992343,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862916074042784,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862916075024356,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862916076014987,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862916077034968,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862916078018112,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862916111531326,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862916112247092,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862916113212848,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862916114209909,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862916115213557,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862916116221512,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862916117227626,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862916118229578,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862916149091796,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862916149890127,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862916150872003,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
