t,xp,xb
146.283,0.218763988188737,1.09634784613869
146.284,0.218758333206159,1.10026179445018
146.285,0.218752722041485,1.10370207881255
146.286,0.218747047045077,1.10704277352686
146.287,0.218741495392312,1.11040251318445
146.288,0.218735799294973,1.11376679054809
146.289,0.21873022275252,1.11694494704286
146.29,0.218743897467572,1.12007344021502
146.291,0.218739671059448,1.12418424022012
146.292,0.218734215162155,1.12885211276691
146.293,0.218728304575402,1.13175311964913
146.294,0.218722637111815,1.13439623100971
146.295,0.218742511351424,1.13723867729062
146.296,0.218738032327433,1.14012394003892
146.297,0.218737742935657,1.14366873467845
146.298,0.218732473964869,1.14785928356501
146.299,0.218752435009142,1.15190204658477
146.3,0.218747636945008,1.15585590838934
146.301,0.218788443400667,1.1585364064429
146.302,0.218783866834864,1.16106736456213
146.303,0.218778457619961,1.16454398374165
146.304,0.21879759423201,1.16822725473383
146.305,0.218818740793423,1.17159930455433
146.306,0.218814178744765,1.17487461603591
146.307,0.218833984287013,1.17809924157344
146.308,0.218854851978228,1.1813085578325
146.309,0.218850481225658,1.18448443107458
146.31,0.218858143898564,1.18764768062486
146.311,0.218858728883863,1.19112593760769
146.312,0.218878616746809,1.19473865718949
146.313,0.218900134857796,1.19795615299456
146.314,0.218895181395854,1.20113921385168
146.315,0.218915808740069,1.20434014775146
146.316,0.218915808740069,1.20754334013539
146.317,0.218910321626305,1.21022904751554
146.318,0.218910163142308,1.21279072250577
146.319,0.218930647354635,1.21609213674254
146.32,0.218925747726989,1.21977554644064
146.321,0.218900063551186,1.22299069740333
146.322,0.218918710479545,1.22600047894078
146.323,0.218894652141846,1.22906598230408
146.324,0.218887847582944,1.23215857687377
146.325,0.218907813806862,1.23580466800966
146.326,0.218903125850667,1.23973811919231
146.327,0.218876795665235,1.24180821332725
146.328,0.218871014730057,1.24387830746219
146.329,0.218870641618301,1.24675057081494
146.33,0.218814877572599,1.2502892455093
146.331,0.218811886163201,1.25403482157124
146.332,0.218786762652794,1.25799422599339
146.333,0.218780072919208,1.26023902976917
146.334,0.218731123707989,1.26237002530277
146.335,0.218721167041604,1.26520533034429
146.336,0.218682887221505,1.26848719160629
146.337,0.218630674834563,1.27167909954889
146.338,0.218597035289271,1.27478436322135
146.339,0.218543524885787,1.27794362131806
146.34,0.21851167783323,1.28113759006774
146.341,0.218394116126592,1.2840488345657
146.342,0.21834640219529,1.28691510462329
146.343,0.218268113091803,1.2894666987368
146.344,0.218224707390792,1.29194865253444
146.345,0.218178379969966,1.29486441537112
146.346,0.218110447610996,1.29834727516236
146.347,0.218018744686692,1.30159175833874
146.348,0.218015105675853,1.30447140170294
146.349,0.217969729611036,1.30732648789972
146.35,0.217906011705023,1.31014110980992
146.351,0.2177696932959,1.31283465823983
146.352,0.217690009313726,1.31530019264996
146.353,0.217568728145843,1.31783975309946
146.354,0.217483649424542,1.3208997362548
146.355,0.217380869888667,1.32395000877189
146.356,0.217293176372162,1.32663605354631
146.357,0.217184472745011,1.32932209832072
146.358,0.21707885664625,1.33209644459679
146.359,0.216853801655353,1.33487254005686
146.36,0.216692964324183,1.33799122141252
146.361,0.21653358118904,1.3410272276455
146.362,0.216363856841761,1.34353083370368
146.363,0.216186537049226,1.34603443976186
146.364,0.216014248801118,1.34937080542712
146.365,0.216007133541578,1.35251394813974
146.366,0.215827312123247,1.35459792195301
146.367,0.215630839429798,1.35668189576622
146.368,0.215421625839029,1.36052274084662
146.369,0.215175718523797,1.36352660648301
146.37,0.214882941550103,1.36533203053457
146.371,0.214608703071829,1.36728063505717
146.372,0.214386034942714,1.37011830204146
146.373,0.214135454437359,1.37295596902567
146.374,0.213899097642659,1.37578732356281
146.375,0.213648734752656,1.37857371609159
146.376,0.213371361555656,1.38108881371604
146.377,0.212952309783657,1.3835996125901
146.378,0.212733742017288,1.38606284067769
146.379,0.212717128309945,1.38852954639767
146.38,0.212717128309945,1.39129529331136
146.381,0.211883439199166,1.3939942246055
146.382,0.211861620416829,1.39624559436194
146.383,0.211547905563591,1.39849696411838
146.384,0.211246098090333,1.40132851024346
146.385,0.210916320205059,1.40421391680817
146.386,0.210595840140941,1.40682020864377
146.387,0.210252757921932,1.40936946891789
146.388,0.209884862455296,1.41175921420973
146.389,0.209336429232276,1.41414463480873
146.39,0.208953668051754,1.41651771207719
146.391,0.208586259379483,1.418896771275
146.392,0.208195585601522,1.42132246318934
146.393,0.207763361872473,1.42375106069091
146.394,0.207380601154934,1.42622580004796
146.395,0.207355675491044,1.42869834890139
146.396,0.206525482322975,1.43106994907981
146.397,0.206474543296786,1.43344154925816
146.398,0.205796940093788,1.43579123448568
146.399,0.205428200941307,1.43813988954433
146.4,0.204984776731595,1.4404979042652
146.401,0.204523344681131,1.44285664701753
146.402,0.204044705185551,1.44526945939404
146.403,0.203593959512658,1.44769131001778
146.404,0.203095064806962,1.45020365170501
146.405,0.202598003987565,1.45262259282444
146.406,0.20211088446389,1.45476851130835
146.407,0.201281369310961,1.45691077665122
146.408,0.20082356220552,1.45903655339717
146.409,0.20028220377849,1.46116233014306
146.41,0.199737863518355,1.46345972524949
146.411,0.199187060666331,1.46576515865933
146.412,0.198663478913193,1.46806056230661
146.413,0.198622225857961,1.47035535167962
146.414,0.198101646326939,1.4725307374047
146.415,0.197541498612381,1.47469118274769
146.416,0.196735911767513,1.47753754827297
