time,force,virtual
147.73049024,4.18901066255395,4.0197694598278
147.73149024,4.23354316704768,4.05842795370306
147.73249024,4.27658916413847,4.09722688618569
147.73349024,4.31691634239405,4.13609009355653
147.73449024,4.35374086931004,4.17494137410769
147.73549024,4.38660697149471,4.2137045885673
147.73649024,4.41514722938574,4.25230376043489
147.73749024,4.43910743447311,4.29066317608763
147.73849024,4.45861808287387,4.3287074845274
147.73949024,4.47435739028721,4.36636179665668
147.74049024,4.48736103270748,4.40355178390363
147.74149024,4.49868219197854,4.4402037761262
147.74249024,4.50923370226458,4.47624485861754
147.74349024,4.51984151058668,4.51160296811783
147.74449024,4.53137243707967,4.54620698767827
147.74549024,4.54477639431381,4.57998684026858
147.74649024,4.56085371103606,4.61287358101371
147.74749024,4.57985331438978,4.64479948790268
147.74849024,4.60134416041893,4.6756981508931
147.74949024,4.62450053941104,4.70550455925737
147.75049024,4.64850943740166,4.73415518708866
147.75149024,4.6728439878614,4.76158807680921
147.75249024,4.69728011772757,4.78774292062393
147.75349024,4.72168279015287,4.8125611397668
147.75449024,4.74579262525249,4.83598596146778
147.75549024,4.76916704590687,4.8579624935086
147.75649024,4.791215362943,4.87843779629732
147.75749024,4.81123565673264,4.89736095235239
147.75849024,4.82848529799947,4.91468313309609
147.75949024,4.8423908743512,4.93035766289357
147.76049024,4.85279082594847,4.94434008022562
147.76149024,4.85994348906225,4.95658819593963
147.76249024,4.8643109986395,4.96706214847519
147.76349024,4.86636219674433,4.97572445601848
147.76449024,4.8664727976035,4.98254006549441
147.76549024,4.86489565772775,4.98747639835133
147.76649024,4.86180705083162,4.99050339305404
147.76749024,4.8573097588839,4.99159354425611
147.76849024,4.85134994407652,4.99072193858045
147.76949024,4.84371666450589,4.98786628696284
147.77049024,4.83411687335559,4.98300695352996
147.77149024,4.82218317779765,4.97612698095312
147.77249024,4.80748755764104,4.96721211226502
147.77349024,4.78968308507228,4.95625080908989
147.77449024,4.76865203869016,4.94323426628351
147.77549024,4.74447090130505,4.92815642294682
147.77649024,4.71724714092522,4.91101396981233
147.77749024,4.68703788289399,4.89180635297931
147.77849024,4.65390758134561,4.87053577400842
147.77949024,4.61800532700387,4.84720718636881
147.78049024,4.57957434949822,4.82182828822251
147.78149024,4.53890586615561,4.79440951161224
147.78249024,4.49630067264303,4.76496400799018
147.78349024,4.45209758266624,4.73350763017291
147.78449024,4.40670855828216,4.70005891070757
147.78549024,4.36054557783321,4.66463903669825
147.78649024,4.31391165114343,4.62727182110651
147.78749024,4.26699670943208,4.58798367059058
147.78849024,4.21997614488801,4.54680354989806
147.78949024,4.1731440099267,4.50376294287998
147.79049024,4.12694043996508,4.45889581016633
147.79149024,4.08175275154505,4.41223854355967
147.79249024,4.03761630783432,4.36382991721732
147.79349024,3.99411200299418,4.3137110356759
147.79449024,3.95058472609942,4.261925278788
147.79549024,3.90641196566985,4.20851824365005
147.79649024,3.86103002989842,4.15353768359495
147.79749024,3.81383434794973,4.09703344432642
147.79849024,3.76417990573391,4.03905739728
147.79949024,3.71152645545094,3.97966337031572
147.80049024,3.65564700595349,3.91890707580569
147.80149024,3.59668984150887,3.85684603623292
147.80249024,3.53504052096382,3.79353950738501
147.80349024,3.47120551213749,3.72904839927142
